article_number,article_label,article_url,image_number,image_role,block_index,gallery_index,image_id,page_variant_url,orig_url,file_path,orig_format,orig_width,orig_height,actual_format,actual_width,actual_height,byte_size,sha256,download_status,exception_note,duplicate_of,primary_class,graphic_kind,graphic_kinds,scene_tags,scene_description,motion_cues,risk_notes
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,01,cover,,,67d2c3cd069b5d181c0d1ca7,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_67d2c36fbc3de24f2683a8ac_67d2c3cd069b5d181c0d1ca7/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_67d2c36fbc3de24f2683a8ac_67d2c3cd069b5d181c0d1ca7/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/01.jpeg,JPEG,2400,1600,JPEG,2400,1600,7046431,c86c61a64691b07f15d4652315dbed0cf4af137bae205f2fbeeb7188c3378523,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,02,article_image,3,,67d2c3cd069b5d181c0d1ca7,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_67d2c36fbc3de24f2683a8ac_67d2c3cd069b5d181c0d1ca7/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_67d2c36fbc3de24f2683a8ac_67d2c3cd069b5d181c0d1ca7/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/02.jpeg,JPEG,2400,1600,JPEG,2400,1600,7046431,c86c61a64691b07f15d4652315dbed0cf4af137bae205f2fbeeb7188c3378523,ok,,02/01,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,03,article_image,7,,67d2c3edbc3de24f2683adf4,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_67d2c36fbc3de24f2683a8ac_67d2c3edbc3de24f2683adf4/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_67d2c36fbc3de24f2683a8ac_67d2c3edbc3de24f2683adf4/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/03.jpeg,JPEG,1920,1280,JPEG,1920,1280,1788963,338abce422eb1e8a2ba481dc16874dfb85b81019de091ef10a3b0d2882c20aef,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,04,gallery_image,11,0,67d2c41144eba35024255688,https://avatars.mds.yandex.net/get-promoarticles/5521748/pub_67d2c36fbc3de24f2683a8ac_67d2c41144eba35024255688/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5521748/pub_67d2c36fbc3de24f2683a8ac_67d2c41144eba35024255688/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/04.jpeg,JPEG,1920,1280,JPEG,1920,1280,2253227,6fcba044ef3af582129d91e43d2287f2736223a2fb52d7c0e15102c08d898f84,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,05,gallery_image,11,1,67d2c41de58a2d4e74f548d7,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_67d2c36fbc3de24f2683a8ac_67d2c41de58a2d4e74f548d7/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_67d2c36fbc3de24f2683a8ac_67d2c41de58a2d4e74f548d7/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/05.jpeg,JPEG,1920,1280,JPEG,1920,1280,1635884,0feffa24b99b14c50db61ce04ffa712c0a1fa4113ba2ea856e052ea1e4da7a63,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,06,article_image,15,,67d2c4727502773ae398e2d9,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_67d2c36fbc3de24f2683a8ac_67d2c4727502773ae398e2d9/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_67d2c36fbc3de24f2683a8ac_67d2c4727502773ae398e2d9/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/06.jpeg,JPEG,1296,972,JPEG,1296,972,95010,6dff114510bc3f61b159431269239343690fcd2f95adc0df9d730138b57a94f8,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,07,gallery_image,17,0,67d2c4977502773ae398e464,https://avatars.mds.yandex.net/get-promoarticles/5521748/pub_67d2c36fbc3de24f2683a8ac_67d2c4977502773ae398e464/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5521748/pub_67d2c36fbc3de24f2683a8ac_67d2c4977502773ae398e464/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/07.png,PNG,2056,1494,PNG,2056,1494,3609101,a892bfe5078665b84c12fcc04f599920d00cd4d776f56b2112740bef48419109,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,08,gallery_image,17,1,67d2c4ac7502773ae398e532,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_67d2c36fbc3de24f2683a8ac_67d2c4ac7502773ae398e532/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_67d2c36fbc3de24f2683a8ac_67d2c4ac7502773ae398e532/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/08.png,PNG,1728,2304,PNG,1728,2304,2370462,b3b32ae3bab4710ea385ba7328ed38d535a560d5ac71491db9b0d883f8326454,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,09,article_image,22,,67d2c5047502773ae398e883,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_67d2c36fbc3de24f2683a8ac_67d2c5047502773ae398e883/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_67d2c36fbc3de24f2683a8ac_67d2c5047502773ae398e883/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/09.png,PNG,2160,1540,PNG,2160,1540,3964737,d34c09a20bcee1dab98c58feaf8da9fc7daac01d021b2668c382dabbc250b20b,ok,,,,,,,,,
02,Level Group — Работаю в Level: почему купил квартиру от нашей компании,https://level-group.promo.page/media/rabotaiu-v-level-pochemu-kupil-kvartiru-ot-nashei-kompanii-69ef21df12346c2fdfdffecd_0_0,10,gallery_image,25,0,67d2c5317502773ae398ea18,https://avatars.mds.yandex.net/get-promoarticles/5521748/pub_67d2c36fbc3de24f2683a8ac_67d2c5317502773ae398ea18/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5521748/pub_67d2c36fbc3de24f2683a8ac_67d2c5317502773ae398ea18/orig,PROMOPAGES-10060-article-02-20260806-v1/articles/02-level-rabotaiu-v-level/10.png,PNG,2400,1600,PNG,2400,1600,7010430,49612e5cd51c6c429d049c7a3d1699c972c6b3264c174c3f0c5b1a049b811c2a,ok,,,,,,,,,
