article_number,article_label,article_url,image_number,image_role,block_index,gallery_index,image_id,page_variant_url,orig_url,file_path,orig_format,orig_width,orig_height,actual_format,actual_width,actual_height,byte_size,sha256,download_status,exception_note,duplicate_of,primary_class,graphic_kind,graphic_kinds,scene_tags,scene_description,motion_cues,risk_notes
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,01,cover,,,6a3d103e5a8cab7b46b62589,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d103e5a8cab7b46b62589/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d103e5a8cab7b46b62589/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/01.jpeg,JPEG,1500,917,JPEG,1500,917,780294,9836bc0a8a8a00ae2f0893a25462e29457d4561327a5e9c89a2a5e2b6abe04c0,ok,,,,,,,,,
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,02,cover_mobile,,,6a3d103a3046bd041c2df0e1,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_6a3d0f7c5a8cab7b46b606c7_6a3d103a3046bd041c2df0e1/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_6a3d0f7c5a8cab7b46b606c7_6a3d103a3046bd041c2df0e1/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/02.jpeg,JPEG,1500,917,JPEG,1500,917,780294,9836bc0a8a8a00ae2f0893a25462e29457d4561327a5e9c89a2a5e2b6abe04c0,ok,,,,,,,,,
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,03,article_image,2,,6a3d0f9f5a8cab7b46b60c64,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0f9f5a8cab7b46b60c64/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0f9f5a8cab7b46b60c64/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/03.jpeg,JPEG,1500,1000,JPEG,1500,1000,198315,893dcbadf34d476231cc91eb6d66305eb2f4afd264bb61da6e62ba73d52206ca,ok,,,,,,,,,
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,04,article_image,7,,6a3d0f9f3046bd041c2dd51d,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0f9f3046bd041c2dd51d/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0f9f3046bd041c2dd51d/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/04.jpeg,JPEG,1500,1000,JPEG,1500,1000,290238,0da169fe5bf12eb74627485d969ea6f8bff626ebe9aa5a0fb5d9c33cc9a047ae,ok,,,,,,,,,
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,05,article_image,12,,6a3d0f9f5c59bd0e6d031e47,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0f9f5c59bd0e6d031e47/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0f9f5c59bd0e6d031e47/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/05.jpeg,JPEG,1152,896,JPEG,1152,896,284336,b96b5000ea29daa38e94537b578b9d1b3903a0453bf052272c4683c19feaa443,ok,,,,,,,,,
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,06,article_image,17,,6a3d0fa05c59bd0e6d031e48,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0fa05c59bd0e6d031e48/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0fa05c59bd0e6d031e48/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/06.png,PNG,1024,1024,PNG,1024,1024,886489,358e447b373d66ca047ec38d96cd46e84380f7b70a23fc22a0459203faba56e6,ok,,,,,,,,,
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,07,article_image,19,,6a3d0fa05f6eb774ed004b2a,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0fa05f6eb774ed004b2a/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0fa05f6eb774ed004b2a/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/07.png,PNG,1536,1024,PNG,1536,1024,2586498,87a52d11b4ba40bf9bb2fd71e7949227206d7d43b88cf3ddc98f0d6117c8f4e2,ok,,,,,,,,,
15,"Mary Kay — Средства Mary Kay®, которые заменили мне десятки других",https://marykay.promo.page/media/sredstva-mary-kay-kotorye-zamenili-mne-desiatki-drugih-6a3d0f7c5a8cab7b46b606c7_0_0,08,article_image,21,,6a3d0fa0a447d75722940ef2,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0fa0a447d75722940ef2/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a3d0f7c5a8cab7b46b606c7_6a3d0fa0a447d75722940ef2/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/15-marykay-sredstva/08.png,PNG,1435,1096,PNG,1435,1096,2628558,df3ac3e632ddf849e347ae149af1f3a4312311566baa47d41315fdafc1eebdfb,ok,,,,,,,,,
16,Mary Kay — Тренды красоты: что нового в косметике и уходе за кожей,https://marykay.promo.page/media/trendy-krasoty-chto-novogo-v-kosmetike-i-uhode-za-kojei-6a3d13553046bd041c2e78a2_0_0,01,cover,,,6a3d13bfa447d7572294bb95,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_6a3d13553046bd041c2e78a2_6a3d13bfa447d7572294bb95/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_6a3d13553046bd041c2e78a2_6a3d13bfa447d7572294bb95/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/16-marykay-trendy-krasoty/01.jpeg,JPEG,1000,667,JPEG,1000,667,355105,5bfb98290c6a8f676456d62e92a91482ce9e5a283b46cd92376ddcef0cb08849,ok,,,,,,,,,
16,Mary Kay — Тренды красоты: что нового в косметике и уходе за кожей,https://marykay.promo.page/media/trendy-krasoty-chto-novogo-v-kosmetike-i-uhode-za-kojei-6a3d13553046bd041c2e78a2_0_0,02,cover_mobile,,,6a3d13bc5a8cab7b46b6b732,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a3d13553046bd041c2e78a2_6a3d13bc5a8cab7b46b6b732/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_6a3d13553046bd041c2e78a2_6a3d13bc5a8cab7b46b6b732/orig,PROMOPAGES-10060-campaigns-20260805-v1/articles/16-marykay-trendy-krasoty/02.jpeg,JPEG,1000,667,JPEG,1000,667,355105,5bfb98290c6a8f676456d62e92a91482ce9e5a283b46cd92376ddcef0cb08849,ok,,,,,,,,,
