article_number,article_label,article_url,image_number,image_role,block_index,gallery_index,image_id,page_variant_url,orig_url,file_path,orig_format,orig_width,orig_height,actual_format,actual_width,actual_height,byte_size,sha256,download_status,exception_note,duplicate_of,primary_class,graphic_kind,graphic_kinds,scene_tags,scene_description,motion_cues,risk_notes
01,Level Group — Брать ипотеку во II половине 2026 года?,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,01,cover,,,6a048df5952e1f1e50d6b5d0,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a048ddca495b52c9d873940_6a048df5952e1f1e50d6b5d0/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a048ddca495b52c9d873940_6a048df5952e1f1e50d6b5d0/orig,PROMOPAGES-10060/articles/01-level-ipoteka-2026/01.png,PNG,1516,845,PNG,1516,845,2394900,e718914a24cd86ae85b722b646353501f41e1b140e82b60bd17b8e5be27617f1,ok,,,,,,,,,
01,Level Group — Брать ипотеку во II половине 2026 года?,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,02,article_image,7,,6a0490f4a495b52c9d87bcd3,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a048ddca495b52c9d873940_6a0490f4a495b52c9d87bcd3/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6429949/pub_6a048ddca495b52c9d873940_6a0490f4a495b52c9d87bcd3/orig,PROMOPAGES-10060/articles/01-level-ipoteka-2026/02.jpeg,JPEG,1280,753,JPEG,1280,753,103223,5adeb293b09e5fde11abf1c1d12e02d3c520050eb94e3e112f3c280a157d0a8a,ok,,,,,,,,,
01,Level Group — Брать ипотеку во II половине 2026 года?,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,03,article_image,12,,6a049120952e1f1e50d73cc7,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_6a048ddca495b52c9d873940_6a049120952e1f1e50d73cc7/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_6a048ddca495b52c9d873940_6a049120952e1f1e50d73cc7/orig,PROMOPAGES-10060/articles/01-level-ipoteka-2026/03.png,PNG,1460,954,PNG,1460,954,140116,5e78bdbd4e7c101a7720c8e1b9d5194d98318829642a7b1a8bd431f6f9fca977,ok,,,,,,,,,
01,Level Group — Брать ипотеку во II половине 2026 года?,https://level-group.promo.page/media/brat-ipoteku-v-ii-polovine-2026-goda-otvechaiut-eksperty-6a048ddca495b52c9d873940_0_0,04,article_image,27,,6a049156a495b52c9d87cb75,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a048ddca495b52c9d873940_6a049156a495b52c9d87cb75/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_6a048ddca495b52c9d873940_6a049156a495b52c9d87cb75/orig,PROMOPAGES-10060/articles/01-level-ipoteka-2026/04.jpeg,JPEG,1920,1023,JPEG,1920,1023,758967,e65e115579ed3143be9ee01f93bcb4f3cf68bf48ed58be9834c84babd98fcd49,ok,,,,,,,,,
03,Level Group — Топ-6 нестандартных планировок,https://level-group.promo.page/media/top6-nestandartnyh-planirovok-kvartir-ot-level-group-69ef21df12346c2fdfdffee5_0_0,01,cover,,,69d4ab191f3cc12a080b7cad,https://avatars.mds.yandex.net/get-promoarticles/5096941/pub_69d4aaf3b4df0f51975be64b_69d4ab191f3cc12a080b7cad/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5096941/pub_69d4aaf3b4df0f51975be64b_69d4ab191f3cc12a080b7cad/orig,PROMOPAGES-10060/articles/03-level-nestandartnye-planirovki/01.jpeg,JPEG,1600,900,JPEG,1600,900,308608,5f8c856a2762b11255a2c2fec5eab572ed9aed64f90474a4a525f8ac76246ec9,ok,,,,,,,,,
03,Level Group — Топ-6 нестандартных планировок,https://level-group.promo.page/media/top6-nestandartnyh-planirovok-kvartir-ot-level-group-69ef21df12346c2fdfdffee5_0_0,02,article_image,6,,69d4ab19e6b97617ed7ba92f,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_69d4aaf3b4df0f51975be64b_69d4ab19e6b97617ed7ba92f/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_69d4aaf3b4df0f51975be64b_69d4ab19e6b97617ed7ba92f/orig,PROMOPAGES-10060/articles/03-level-nestandartnye-planirovki/02.jpeg,JPEG,1600,902,JPEG,1600,902,268568,c45fcff678a6b15ba2455951d25ecaa90e976dcf5babb0c167e52d71ea8c50e4,ok,,,,,,,,,
03,Level Group — Топ-6 нестандартных планировок,https://level-group.promo.page/media/top6-nestandartnyh-planirovok-kvartir-ot-level-group-69ef21df12346c2fdfdffee5_0_0,03,article_image,12,,69d4ab191f3cc12a080b7cad,https://avatars.mds.yandex.net/get-promoarticles/5096941/pub_69d4aaf3b4df0f51975be64b_69d4ab191f3cc12a080b7cad/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5096941/pub_69d4aaf3b4df0f51975be64b_69d4ab191f3cc12a080b7cad/orig,PROMOPAGES-10060/articles/03-level-nestandartnye-planirovki/03.jpeg,JPEG,1600,900,JPEG,1600,900,308608,5f8c856a2762b11255a2c2fec5eab572ed9aed64f90474a4a525f8ac76246ec9,ok,,03/01,,,,,,,
03,Level Group — Топ-6 нестандартных планировок,https://level-group.promo.page/media/top6-nestandartnyh-planirovok-kvartir-ot-level-group-69ef21df12346c2fdfdffee5_0_0,04,article_image,18,,69d4ab191f3cc12a080b7cae,https://avatars.mds.yandex.net/get-promoarticles/5096941/pub_69d4aaf3b4df0f51975be64b_69d4ab191f3cc12a080b7cae/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5096941/pub_69d4aaf3b4df0f51975be64b_69d4ab191f3cc12a080b7cae/orig,PROMOPAGES-10060/articles/03-level-nestandartnye-planirovki/04.jpeg,JPEG,1600,893,JPEG,1600,893,291916,079794b4e3751b503fdff70550d0aab3f08ea7c321ca46587365021c3bbf60e8,ok,,,,,,,,,
03,Level Group — Топ-6 нестандартных планировок,https://level-group.promo.page/media/top6-nestandartnyh-planirovok-kvartir-ot-level-group-69ef21df12346c2fdfdffee5_0_0,05,article_image,24,,69d4ab1a0b31d967ee8d8b98,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_69d4aaf3b4df0f51975be64b_69d4ab1a0b31d967ee8d8b98/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_69d4aaf3b4df0f51975be64b_69d4ab1a0b31d967ee8d8b98/orig,PROMOPAGES-10060/articles/03-level-nestandartnye-planirovki/05.jpeg,JPEG,1600,900,JPEG,1600,900,254481,3619a5ad35176e4e8226b404834debce7f237f56e47936d49c721be6a54d4f9f,ok,,,,,,,,,
03,Level Group — Топ-6 нестандартных планировок,https://level-group.promo.page/media/top6-nestandartnyh-planirovok-kvartir-ot-level-group-69ef21df12346c2fdfdffee5_0_0,06,gallery_image,31,0,69d4ab1a0b31d967ee8d8ba2,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_69d4aaf3b4df0f51975be64b_69d4ab1a0b31d967ee8d8ba2/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/4956602/pub_69d4aaf3b4df0f51975be64b_69d4ab1a0b31d967ee8d8ba2/orig,PROMOPAGES-10060/articles/03-level-nestandartnye-planirovki/06.jpeg,JPEG,1600,1200,JPEG,1600,1200,337373,be8e31d2845f05316eb955857e201c97540cfc1e2a7c4ed0989d57b080ced643,ok,,,,,,,,,
