article_number,article_label,article_url,image_number,image_role,block_index,gallery_index,image_id,page_variant_url,orig_url,file_path,orig_format,orig_width,orig_height,actual_format,actual_width,actual_height,byte_size,sha256,download_status,exception_note,duplicate_of,primary_class,scene_tags,scene_description,motion_cues,risk_notes
01,Pharmocean — Магия магния,https://pharmocean.promo.page/media/magiia-magniia-68f5ff4f55f9e8662bdfb1d4_0_0,01,cover,,,678f430098170419ffec38d9,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_678f3f4eb045124589f9c45e_678f430098170419ffec38d9/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_678f3f4eb045124589f9c45e_678f430098170419ffec38d9/orig,articles/01-pharmocean-magiia-magniia/01.jpeg,JPEG,1200,668,JPEG,1200,668,263390,f0e6854db524bd5b06c5caf0ed2e2ee244b5117666a73c6e7afa39df084c49c6,ok,,,food,wide_shot; overhead_flat_lay; tabletop; static; magnesium_rich_foods; fruit_vegetables_nuts; printed_card,"На тёмно-бирюзовой деревянной поверхности разложены бананы, авокадо, зелень, капуста, орехи и семена вокруг карточки «Mg Magnesium».",Статичная раскладка; возможны очень медленный наезд сверху и едва заметное смещение бликов на продуктах.,"Крупная надпись «Mg Magnesium», множество мелких орехов и семян, повторяющиеся фактуры и чёткая раскладка объектов."
01,Pharmocean — Магия магния,https://pharmocean.promo.page/media/magiia-magniia-68f5ff4f55f9e8662bdfb1d4_0_0,02,article_image,2,,679ce42f5e5f9849fe542795,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_678f3f4eb045124589f9c45e_679ce42f5e5f9849fe542795/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_678f3f4eb045124589f9c45e_679ce42f5e5f9849fe542795/orig,articles/01-pharmocean-magiia-magniia/02.jpeg,JPEG,2400,1600,JPEG,2400,1600,2536062,dac18b13cd08c2403ca22b41b428eb1293acd6b0e35a02f8a7082ad00a77c68f,ok,,,portrait_closeup,close_up; indoor; dynamic; woman; stressed_expression; direct_gaze; face; hands; fingers; teeth,Женщина с широко раскрытыми глазами и напряжённой улыбкой держит обе растопыренные кисти рядом с лицом.,"Она один раз моргает, слегка выдыхает и немного расслабляет пальцы, сохраняя выражение лица.","Крупное лицо, глаза и зубы, обе кисти с десятью хорошо видимыми пальцами, ногти и сильная мимика особенно хрупки."
01,Pharmocean — Магия магния,https://pharmocean.promo.page/media/magiia-magniia-68f5ff4f55f9e8662bdfb1d4_0_0,03,article_image,17,,67ac590ee4ef443479488a93,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_678f3f4eb045124589f9c45e_67ac590ee4ef443479488a93/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_678f3f4eb045124589f9c45e_67ac590ee4ef443479488a93/orig,articles/01-pharmocean-magiia-magniia/03.jpeg,JPEG,842,480,JPEG,842,480,43550,ddd65a2bdbfb0761a15619971309fcc4e69a482ca41fed71af808a5a63263dd3,ok,,,people_action,medium_wide; bedroom; low_light; dynamic; woman_lying_down; hands_on_face; digital_alarm_clock; shallow_depth_of_field,"Женщина лежит на кровати в темноте, прикрыв лицо руками, а на переднем плане светятся электронные часы с показанием 7:41.","Женщина слегка меняет положение головы и пальцев, дыхание едва поднимает плечо; часы остаются неподвижными.","Цифры 7:41 на дисплее, лицо в сильном расфокусе и тени, перекрывающие его руки, клетчатая подушка и светящийся корпус часов."
01,Pharmocean — Магия магния,https://pharmocean.promo.page/media/magiia-magniia-68f5ff4f55f9e8662bdfb1d4_0_0,04,article_image,35,,679ce3d55e5f9849fe542385,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_678f3f4eb045124589f9c45e_679ce3d55e5f9849fe542385/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/6165752/pub_678f3f4eb045124589f9c45e_679ce3d55e5f9849fe542385/orig,articles/01-pharmocean-magiia-magniia/04.jpeg,JPEG,1126,745,JPEG,1126,745,325430,065c706c78a5d9160a9e891efc1a1574297fa203c8c249b00c564e203400aba0,ok,,,food,medium_wide; tabletop; static; healthy_foods; salmon; vegetables; nuts; eggs; oil; still_life,"На деревянном столе собраны филе лосося, брокколи, шпинат, авокадо, яблоко, яйца, орехи и миска с маслом.",Статичная сцена; уместны медленный боковой дрейф камеры и мягкое изменение бликов на масле и рыбе.,"Тонкий рисунок мяса лосося, прозрачная миска и масло, множество мелких орехов и листьев, точные овальные формы яиц."
01,Pharmocean — Магия магния,https://pharmocean.promo.page/media/magiia-magniia-68f5ff4f55f9e8662bdfb1d4_0_0,05,article_image,64,,67b6dabf9b37647d54466872,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_678f3f4eb045124589f9c45e_67b6dabf9b37647d54466872/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5126709/pub_678f3f4eb045124589f9c45e_67b6dabf9b37647d54466872/orig,articles/01-pharmocean-magiia-magniia/05.jpeg,JPEG,2400,2292,JPEG,2400,2292,3830210,a41376d0ea1462fc3599975a094c16cdf6e6f80160cf35bcc5457fe1cea7a81e,ok,,,people_action,full_shot; seaside; static; woman; back_view; seated_meditation; hands; ocean_horizon; outdoor_wellness,Женщина в спортивной одежде сидит спиной к камере в позе медитации на каменном берегу перед спокойным морем.,"Её спина едва движется от дыхания, отдельные пряди волос мягко шевелятся, на воде проходит слабая рябь.","Обе кисти и пальцы в мудре, силуэт спины и плеч, тонкие пряди волос, линия горизонта и мелкая фактура воды."
02,Nanoplast — Как унимать боль в суставах,https://nanoplast.promo.page/media/kak-unimat-bol-v-sustavah-sovety-pojilym-i-ne-tolko-68651c9aadaa5933d5c0ef41_0_0,01,cover,,,68651d1adaa123311793b5d8,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68651c9aadaa5933d5c0ef41_68651d1adaa123311793b5d8/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68651c9aadaa5933d5c0ef41_68651d1adaa123311793b5d8/orig,articles/02-nanoplast-kak-unimat-bol/01.png,PNG,1600,800,PNG,1600,800,1107539,18877935b369c97871fb27c1f37cd5086996d2e55fb90c6911366a08d2057ce4,ok,,,text_interface_collage,wide_shot; studio_composite; static; cropped_body; shoulder_pain; hand_on_shoulder; product_packaging; cyrillic_text; brand_logo; pain_heatmap,Рекламный коллаж сочетает спину женщины с рукой на подсвеченном красным плече и упаковку с тюбиком геля «Нанопласт Артроген» на голубом фоне.,"Рука чуть усиливает и ослабляет нажим на плечо, красное свечение очень мягко пульсирует; упаковка остаётся неподвижной.","Много мелкого кириллического текста и логотипов на коробке и тюбике, пальцы на плече, анатомия обрезанного тела, красная графическая зона боли и края композита."
02,Nanoplast — Как унимать боль в суставах,https://nanoplast.promo.page/media/kak-unimat-bol-v-sustavah-sovety-pojilym-i-ne-tolko-68651c9aadaa5933d5c0ef41_0_0,02,article_image,16,,68651cb2e1b6bd2662b7f7da,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_68651c9aadaa5933d5c0ef41_68651cb2e1b6bd2662b7f7da/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/5400274/pub_68651c9aadaa5933d5c0ef41_68651cb2e1b6bd2662b7f7da/orig,articles/02-nanoplast-kak-unimat-bol/02.png,PNG,1600,900,PNG,1600,900,1653873,36280e853c7d2a8938717ade81363ecaa09786b90250377193f8848574bd2341,ok,,,people_action,wide_shot; fitness_studio; dynamic; two_older_women; floor_exercise; sit_up; exercise_mats; wall_mirror; dumbbells,"Две пожилые женщины выполняют скручивания на синим и фиолетовом ковриках, а их фронтальные отражения видны в настенном зеркале.",Обе женщины синхронно завершают одно скручивание и немного опускают плечи; отражения точно повторяют движение.,"Зеркало должно синхронно сохранять обе фигуры, лица и одежду; сложны переплетённые пальцы за головой, локти, согнутые ноги, коврики и гантели."
03,ZOV — Решения для кухни,https://zovofficial.promo.page/media/5-reshenii-dlia-kuhni-kotoraia-raduet-kajdyi-den-68c2d0acf583c90deb8abb8e_0_0,01,cover,,,6899917fb34b9e1b90e5bbea,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68999124b34b9e1b90e5b8c3_6899917fb34b9e1b90e5bbea/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68999124b34b9e1b90e5b8c3_6899917fb34b9e1b90e5bbea/orig,articles/03-zov-resheniia-dlia-kuhni/01.jpeg,JPEG,1600,960,JPEG,1600,960,204849,28350e991e8e6279a8f33685c0a8e6bff5f6c4878f4f0c2d1dee534ee307d4cb,ok,,,interior,wide_shot; modern_kitchen; static; architectural_render; island; dining_area; wood_cabinetry; black_appliances; logo_watermark,"Современная кухня с серым островом, деревянной стеной шкафов, чёрной вытяжкой и обеденным столом показана фронтально в архитектурном рендере.",Только очень медленный наезд или короткий боковой параллакс с мягким перемещением отражений на фасадах.,"Строгая перспектива, длинные прямые линии шкафов и столешниц, стулья с тонкими ножками, глянцевые чёрные поверхности, мелкий логотип в правом нижнем углу."
03,ZOV — Решения для кухни,https://zovofficial.promo.page/media/5-reshenii-dlia-kuhni-kotoraia-raduet-kajdyi-den-68c2d0acf583c90deb8abb8e_0_0,02,article_image,7,,6899917fb34b9e1b90e5bbea,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68999124b34b9e1b90e5b8c3_6899917fb34b9e1b90e5bbea/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68999124b34b9e1b90e5b8c3_6899917fb34b9e1b90e5bbea/orig,articles/03-zov-resheniia-dlia-kuhni/02.jpeg,JPEG,1600,960,JPEG,1600,960,204849,28350e991e8e6279a8f33685c0a8e6bff5f6c4878f4f0c2d1dee534ee307d4cb,ok,,03/01,interior,wide_shot; modern_kitchen; static; architectural_render; island; dining_area; wood_cabinetry; black_appliances; logo_watermark,"Современная кухня с серым островом, деревянной стеной шкафов, чёрной вытяжкой и обеденным столом показана фронтально в архитектурном рендере.",Только очень медленный наезд или короткий боковой параллакс с мягким перемещением отражений на фасадах.,"Строгая перспектива, длинные прямые линии шкафов и столешниц, стулья с тонкими ножками, глянцевые чёрные поверхности, мелкий логотип в правом нижнем углу."
03,ZOV — Решения для кухни,https://zovofficial.promo.page/media/5-reshenii-dlia-kuhni-kotoraia-raduet-kajdyi-den-68c2d0acf583c90deb8abb8e_0_0,03,article_image,11,,689991b8b34b9e1b90e5bdeb,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68999124b34b9e1b90e5b8c3_689991b8b34b9e1b90e5bdeb/scale_1200,https://avatars.mds.yandex.net/get-promoarticles/7545082/pub_68999124b34b9e1b90e5b8c3_689991b8b34b9e1b90e5bdeb/orig,articles/03-zov-resheniia-dlia-kuhni/03.jpeg,JPEG,1600,1086,JPEG,1600,1086,234500,df8f352729e9deb7546284bba1aa8fdb639e043d70c5e09922d1f6fd2699a8d2,ok,,,interior,wide_shot; classic_kitchen; static; architectural_render; green_cabinetry; breakfast_bar; stools; dining_area; logo_watermark,"Светлая кухня с приглушённо-зелёными фасадами, каменным фартуком, барной стойкой и двумя табуретами занимает весь интерьерный кадр.",Медленное приближение камеры с минимальным параллаксом; свет и отражения на камне и стекле едва меняются.,"Сложная геометрия филёнчатых фасадов и витрин, вертикали мебели, ножки табуретов, рисунок камня, подвесные светильники и мелкий логотип."
